,State,Category,Water User,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
25,CA,AG,CVWD service area canal losses,,,,,,,,160687,179987,176151,207369,211708,190396,185499,192877,219612,209781,96792,104305,79430,61714,53775,57564,52977,48480,55826,58194,45802,50740,46516,36553,42296,41951,57043,55924,52239,46955,52418,50645,49147,79336,76233,80670,48596,35277,16293,21238,,
27,CA,M&I,Southern California Gas,,,,,,,,--,--,--,--,--,166,--,--,--,--,--,--,--,--,--,--,70,59,106,63,0,49,0,66,59,84,78,61,86,78,61,51,130,46,46,43,39,39,39,38,38,38
28,CA,M&I,Pacific Gas & Electric,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,46,23,55,71,55,3,36,4,1
29,CA,M&I,Havasu Water Company,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,69,66,69,58,0,71,3,473,0,59,60,60,60,60,36,25,25,36,33,33,33
30,CA,M&I,BLM Permittees,,,,,,,,--,--,--,--,--,107,107,146,150,162,177,205,158,206,206,--,254,236,246,250,0,210,844,1014,0,593,564,493,515,557,536,521,480,450,437,254,362,334,321,317,232,301
31,CA,M&I,J Victor Construction,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,7,9,12,14,9,9
32,CA,"Fish, Wildlife, Recreation",Lake Enterprises of CA (Piacho Development),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,104,0,0,107,113,104,0,115,110,96,6,72,35,31,3,3,9,14,9,10,12,--,--,--,--
33,CA,AG,Other Users Pumping from CO River,,,,,,,,36721,32499,26807,25500,30333,29505,17680,16891,18299,24506,23747,20456,16486,14135,17451,15902,18609,18740,21642,23205,30014,21275,25367,24112,24850,23163,16990,21124,18591,19890,17163,19387,11068,11848,11362,10244,10093,9663,8739,4305,6372,7775
35,CA,,California Totals,,,,,,,,5216279,5230635,5317547,5414040,4983705,4706594,5097343,4503340,4788423,4733007,4795949,4299799,4245045,4677103,4778749,4804950,4891960,5039679,5144417,5219457,5005595,4546194,4835019,5234088,4925482,5322653,5250119,5045228,5194380,5162221,5254718,5365609,4408746,4316185,4344258,4335299,4370695,4498810,4358074,4356838,4312661,4416718
36,CA,,Estimated unmeasured return flow,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,44669,88679,96487,88227,91996,87203,90205,86075,90002,,,,,,,,,,
37,CA,,CA total from Summary sheet,,,,,,,, n/a , n/a , n/a , n/a , n/a , n/a , n/a , n/a , n/a , n/a , n/a , n/a , n/a , n/a , n/a ,4804950,4891960,5039679,5144417,5219457,5005595,4546194,4835019,5189419,4836803,5226166,5161892,4953232,5107177,5072016,5168643,5275607,4408746,4316185,4344258,4335299,4370695,4498810,4358074,4356838,4312661,4416718
