,,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
California,FWR,0 ,0 ,15 ,15 ,15 ,15 ,15 ,15 ,15 ,15 ,15 ,15 ,15 ,15 ,18 ,19 ,0 ,104 ,0 ,0 ,107 ,113 ,104 ,0 ,115 ,110 ,96 ,6 ,72 ,35 ,31 ,3 ,3 ,9 ,14 ,19 ,55 ,62 ,"1,712 ","1,744 ",0 ,0 
California,Total,"5,216,279 ","5,230,635 ","5,317,547 ","5,414,040 ","4,983,705 ","4,706,594 ","5,097,343 ","4,503,340 ","4,788,423 ","4,733,007 ","4,795,949 ","4,299,799 ","4,245,045 ","4,677,103 ","4,778,749 ","4,804,950 ","4,891,960 ","5,039,679 ","5,144,417 ","5,219,457 ","5,005,595 ","4,546,194 ","4,835,019 ","5,189,419 ","4,836,803 ","5,226,166 ","5,161,892 ","4,953,232 ","5,107,177 ","5,072,016 ","5,168,643 ","5,275,607 ","4,408,746 ","4,316,185 ","4,344,258 ","4,335,299 ","4,370,695 ","4,498,810 ","4,358,074 ","4,356,838 ","1,104,795 ","1,201,855 "
Nevada,Ag,43 ,61 ,76 ,57 ,28 ,78 ,65 ,66 ,66 ,64 ,66 ,65 ,59 ,119 ,63 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Nevada,M&I,"44,295 ","68,918 ","79,552 ","80,557 ","56,860 ","57,583 ","57,885 ","61,278 ","47,116 ","81,116 ","94,783 ","83,915 ","70,735 ","86,150 ","94,446 ","98,036 ","94,316 ","112,615 ","140,871 ","160,001 ","164,670 ","162,699 ","188,436 ","210,643 ","201,164 ","234,089 ","227,668 ","230,765 ","276,148 ","305,312 ","299,933 ","311,739 ","285,708 ","270,072 ","278,373 ","290,485 ","299,038 ","268,378 ","247,372 ","240,437 ","222,114 ","236,570 "
Nevada,energy ,"5,446 ","11,169 ","12,188 ","13,440 ","14,422 ","14,709 ","14,327 ","9,053 ","11,934 ","10,163 ","13,983 ","17,294 ","14,676 ","14,198 ","6,255 ","13,262 ","13,655 ","15,985 ","14,265 ","17,273 ","14,821 ","13,931 ","14,807 ","13,982 ","13,281 ","13,149 ","13,127 ","12,851 ","12,148 ","13,402 ","12,968 ","12,297 ","11,564 ","12,038 ","12,401 ","1,248 ",396 ,491 ,520 ,370 ,97 ,--
Nevada,recreation,802 ,903 ,833 ,815 ,830 ,822 ,897 ,896 ,958 ,"1,083 ","1,185 ","1,052 ","1,126 ","1,025 ",945 ,919 ,892 ,820 ,"1,077 ",837 ,733 ,921 ,"1,159 ","1,203 ","1,272 ","1,263 ","1,252 ",893 ,"1,234 ","1,142 ","1,036 ","1,191 ","1,120 ",896 ,"1,004 ","1,131 ",878 ,785 ,721 ,630 ,636 ,591 
Nevada,Total,"50,586 ","81,051 ","92,649 ","94,869 ","72,140 ","73,192 ","73,174 ","71,293 ","60,074 ","92,426 ","110,017 ","102,326 ","86,596 ","101,492 ","101,709 ","112,217 ","108,863 ","129,420 ","156,213 ","178,111 ","180,224 ","177,551 ","204,402 ","225,828 ","215,717 ","248,501 ","242,047 ","244,509 ","289,530 ","319,856 ","313,937 ","325,227 ","298,392 ","283,006 ","291,778 ","292,864 ","300,312 ","269,654 ","248,613 ","241,437 ","222,847 ","237,161 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total LB Decree Use,,"6,563,795 ","6,514,729 ","6,678,940 ","6,834,540 ","6,413,848 ","6,027,806 ","6,401,791 ","5,809,575 ","5,999,350 ","6,046,996 ","6,321,816 ","5,642,509 ","5,393,810 ","5,894,711 ","6,074,666 ","6,274,097 ","6,734,995 ","7,091,836 ","7,530,328 ","7,657,840 ","7,050,179 ","6,629,816 ","7,286,116 ","7,360,243 ","7,081,329 ","8,027,466 ","8,100,913 ","7,620,606 ","7,976,409 ","8,025,387 ","8,170,391 ","8,406,820 ","7,537,737 ","7,383,836 ","7,064,505 ","7,411,029 ","7,454,330 ","7,520,961 ","7,438,398 ","7,378,642 ","2,483,707 ","2,602,621 "
Total LB back check,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,"(4,832,909.0)","(4,840,925.0)"
AZ back check,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,"(1,625,043.0)","(1,626,062.0)"
CA back check,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,"(3,207,866.0)","(3,214,863.0)"
NV back check,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
Back check with B. Isakson's workbook,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,200.0 ,0.0 ,0.0 ,0.0 ,0.0 ,"6,891.0 ",0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.3 ,0.0 ,0.0 ,"(4,832,909.0)","2,602,621.0 "
